code           lon     lat   city
21010097 123.4678 41.7867 沈阳市
21010098 123.4114 41.7653 沈阳市
21010099 123.4264 41.8467 沈阳市
210200051 121.612 38.9741 大连市
210200052 121.565 38.9511 大连市
210200053 121.5637 38.8845 大连市
210200054 121.6302 38.9117 大连市
210200055 121.6251 38.8638 大连市
210200056 121.5213 38.8661 大连市
210200057 121.2529 38.8061 大连市
210200058 121.7485 39.1311 大连市
210200059 121.7811 39.0496 大连市
210200060 121.9762 39.0631 大连市
210300051 123.044 41.1196 鞍山市
210300052 123.011 41.0931 鞍山市
210300053 123.0485 41.1442 鞍山市
210300054 122.9642 41.0971 鞍山市
210300055 123.022 41.0821 鞍山市
210300080 122.9341 41.0833 鞍山市
210400051 123.9247 41.8642 抚顺市
210400052 123.9161 41.8822 抚顺市
210400053 124.0436 41.8611 抚顺市
210400054 124.0972 41.8961 抚顺市
210400055 123.7977 41.8491 抚顺市
210400056 123.7086 41.8391 抚顺市
210500355 123.8275 41.3064 本溪市
210500405 123.7567 41.3325 本溪市
210500410 123.7169 41.3094 本溪市
210500420 123.7669 41.2864 本溪市
210500425 123.7992 41.2664 本溪市
210500435 123.8142 41.3472 本溪市
210600401 124.3303 40.0625 丹东市
210600402 124.4256 40.1503 丹东市
210600403 124.3933 40.1461 丹东市
210600404 124.3633 40.1092 丹东市
210700351 121.1115 41.0879 锦州市
210700402 121.0533 40.8434 锦州市
210700403 121.1836 41.1119 锦州市
210700404 121.1178 41.1222 锦州市
210700405 121.1303 41.1386 锦州市
210800403 122.2703 40.7094 营口市
210800405 122.215 40.6511 营口市
210800409 122.167 40.6655 营口市
210900411 121.6094 41.998 阜新市
210900412 121.6697 42.0279 阜新市
210900413 121.6673 42.0705 阜新市
210900414 121.6717 42.0224 阜新市
210900415 121.6506 42.0498 阜新市
211000405 123.2 41.1953 辽阳市
211000406 123.1683 41.2495 辽阳市
211000407 123.2354 41.2639 辽阳市
211000408 123.149 41.2991 辽阳市
211100401 122.0303 41.1489 盘锦市
211100402 122.0485 41.0883 盘锦市
211100407 121.8297 41.1028 盘锦市
211200401 123.8139 42.3022 铁岭市
211200405 123.8649 42.2923 铁岭市
211200411 123.8486 42.2867 铁岭市
211200412 123.7153 42.2217 铁岭市
