code,cityName,lon,lat,hgt,area,pop,forest,shrubland,grassland,cropland,builtup,bares,snow,water,wetland,mangroves,moss
152900,阿拉善盟,105.71000,38.84000,1658.45000,25.44000,257287,0.00095,0.00181,0.00552,0.00319,0.00063,0.98638,0.00000,0.00117,0.00035,0.00000,0.00000
210100,沈阳市,123.43000,41.80000,48.94000,1.40000,9062209,0.05458,0.00070,0.01824,0.76761,0.09644,0.04397,0.00000,0.01563,0.00284,0.00000,0.00000
210200,大连市,121.62000,38.91000,33.22000,1.39000,7443605,0.24059,0.00032,0.08595,0.39237,0.07429,0.09377,0.00000,0.11053,0.00216,0.00000,0.00000
210300,鞍山市,123.00000,41.11000,62.83000,0.99000,3321366,0.41559,0.00051,0.06707,0.40910,0.06182,0.04084,0.00000,0.00445,0.00062,0.00000,0.00000
210400,抚顺市,123.92000,41.88000,114.78000,1.22000,1858286,0.72945,0.00013,0.01915,0.19720,0.02393,0.02017,0.00000,0.00950,0.00047,0.00000,0.00000
210500,本溪市,123.77000,41.30000,255.14000,0.90000,1323887,0.79991,0.00001,0.01867,0.11363,0.02268,0.02415,0.00000,0.02064,0.00032,0.00000,0.00000
210600,丹东市,124.38000,40.12000,37.95000,1.56000,2184104,0.65593,0.00026,0.05318,0.20035,0.02034,0.03686,0.00000,0.03185,0.00124,0.00000,0.00000
210700,锦州市,121.14000,41.12000,51.87000,1.08000,2698518,0.07935,0.00049,0.09699,0.68421,0.05752,0.04442,0.00000,0.03545,0.00157,0.00000,0.00000
210800,营口市,122.24000,40.67000,0.94000,0.57000,2326060,0.34116,0.00027,0.09359,0.34041,0.09394,0.06799,0.00000,0.06032,0.00233,0.00000,0.00000
210900,阜新市,121.65000,42.01000,189.73000,1.13000,1642161,0.09855,0.00002,0.06728,0.75714,0.03868,0.03541,0.00000,0.00273,0.00018,0.00000,0.00000
211000,辽阳市,123.18000,41.27000,42.45000,0.51000,1602161,0.33784,0.00048,0.04781,0.47341,0.08201,0.04256,0.00000,0.01385,0.00205,0.00000,0.00000
211100,盘锦市,122.07000,41.12000,4.01000,0.39000,1437484,0.01091,0.00104,0.00988,0.71318,0.08691,0.06918,0.00000,0.08735,0.02155,0.00000,0.00000
211200,铁岭市,123.84000,42.29000,90.67000,1.42000,2382289,0.29692,0.00010,0.03272,0.60115,0.03605,0.02235,0.00000,0.00969,0.00102,0.00000,0.00000
211300,朝阳市,120.45000,41.58000,245.23000,2.12000,2865373,0.16948,0.00003,0.31270,0.41938,0.02772,0.06649,0.00000,0.00416,0.00004,0.00000,0.00000
211400,葫芦岛市,120.86000,40.76000,35.56000,1.10000,2429318,0.22037,0.00017,0.24376,0.39772,0.04851,0.04610,0.00000,0.04265,0.00072,0.00000,0.00000
220100,长春市,125.32000,43.89000,212.12000,2.32000,8932935,0.06308,0.00002,0.00992,0.82371,0.05816,0.02649,0.00000,0.01681,0.00181,0.00000,0.00000
220200,吉林市,126.55000,43.84000,231.27000,3.09000,3613342,0.56778,0.00001,0.01522,0.36063,0.02305,0.01396,0.00000,0.01874,0.00061,0.00000,0.00000
220300,四平市,124.37000,43.17000,180.83000,1.61000,1809136,0.11750,0.00001,0.03046,0.78065,0.03758,0.02368,0.00000,0.00980,0.00033,0.00000,0.00000
220400,辽源市,125.15000,42.90000,301.55000,0.57000,994847,0.29621,0.00002,0.01237,0.62794,0.02792,0.02525,0.00000,0.01000,0.00030,0.00000,0.00000
220500,通化市,125.94000,41.72000,527.33000,1.69000,1808480,0.63950,0.00001,0.01694,0.29209,0.01972,0.02090,0.00000,0.01054,0.00030,0.00000,0.00000
220600,白山市,126.43000,41.94000,592.18000,1.90000,970023,0.87989,0.00000,0.02459,0.06358,0.01025,0.01182,0.00000,0.00956,0.00010,0.00000,0.00021
220700,松原市,124.82000,45.12000,134.09000,2.41000,2246507,0.02513,0.00001,0.12548,0.75184,0.02730,0.02380,0.00000,0.03690,0.00954,0.00000,0.00000
220800,白城市,122.84000,45.62000,151.00000,2.96000,1544128,0.01284,0.00002,0.24548,0.65036,0.02076,0.02429,0.00000,0.02911,0.01714,0.00000,0.00000
222400,延边朝鲜族自治州,129.51000,42.90000,291.92000,4.79000,1977233,0.83753,0.00001,0.01528,0.12205,0.01017,0.01011,0.00000,0.00473,0.00012,0.00000,0.00000
230100,哈尔滨市,126.64000,45.76000,132.77000,6.13000,9994540,0.43335,0.00013,0.01196,0.48990,0.03015,0.01023,0.00000,0.01892,0.00535,0.00000,0.00000
230200,齐齐哈尔市,123.96000,47.34000,146.55000,5.06000,4052935,0.06505,0.00006,0.07457,0.77655,0.02128,0.01926,0.00000,0.01797,0.02525,0.00000,0.00000
230300,鸡西市,130.98000,45.30000,261.19000,2.59000,1497329,0.33150,0.00072,0.01108,0.51077,0.01633,0.01832,0.00000,0.07019,0.04109,0.00000,0.00000
230400,鹤岗市,130.28000,47.33000,178.87000,1.76000,889001,0.45440,0.00125,0.01957,0.45466,0.01390,0.01202,0.00000,0.02570,0.01849,0.00000,0.00000
230500,双鸭山市,131.16000,46.64000,194.04000,2.59000,1205396,0.36347,0.00040,0.00852,0.54828,0.01436,0.01553,0.00000,0.01257,0.03687,0.00000,0.00000
230600,大庆市,125.11000,46.59000,145.84000,2.48000,2773850,0.04582,0.00018,0.19372,0.51119,0.03385,0.04130,0.00000,0.07840,0.09554,0.00000,0.00000
230700,伊春市,128.90000,47.72000,301.82000,3.94000,874958,0.86812,0.00015,0.02050,0.09131,0.00536,0.00441,0.00000,0.00875,0.00141,0.00000,0.00000
230800,佳木斯市,130.36000,46.81000,90.11000,3.89000,2150136,0.17613,0.00090,0.00669,0.69927,0.01594,0.02084,0.00000,0.02844,0.05180,0.00000,0.00000
230900,七台河市,131.02000,45.77000,247.01000,0.72000,688116,0.41594,0.00006,0.01675,0.51022,0.02776,0.01871,0.00000,0.00874,0.00182,0.00000,0.00000
231000,牡丹江市,129.62000,44.58000,302.14000,4.40000,2284672,0.73053,0.00000,0.01364,0.22513,0.01285,0.00938,0.00000,0.00829,0.00018,0.00000,0.00000
231100,黑河市,127.50000,50.25000,155.09000,8.26000,1281957,0.52610,0.00005,0.10911,0.34185,0.00465,0.00556,0.00000,0.01095,0.00174,0.00000,0.00000
231200,绥化市,126.99000,46.64000,167.43000,4.12000,3745023,0.17344,0.00005,0.08410,0.67375,0.02515,0.01575,0.00000,0.01423,0.01352,0.00000,0.00000
232700,大兴安岭地区,124.71000,52.34000,440.35000,8.54000,140781,0.89294,0.00001,0.07909,0.01638,0.00149,0.00291,0.00000,0.00694,0.00017,0.00000,0.00008
310000,上海市,121.47000,31.23000,7.55000,0.76000,24866437,0.11798,0.00189,0.02401,0.30813,0.27535,0.10431,0.00000,0.14873,0.01961,0.00000,0.00000
320100,南京市,118.77000,32.04000,14.02000,0.63000,9310620,0.22912,0.00036,0.01073,0.39262,0.15714,0.13460,0.00000,0.07430,0.00113,0.00000,0.00000
320200,无锡市,120.30000,31.57000,8.02000,0.44000,7459537,0.17771,0.00061,0.00752,0.29926,0.24560,0.07572,0.00000,0.19245,0.00112,0.00000,0.00000
320300,徐州市,117.18000,34.26000,40.68000,1.09000,9076255,0.05209,0.00015,0.00592,0.70460,0.12496,0.09212,0.00000,0.01946,0.00069,0.00000,0.00000
