code           lon     lat   city
360100063 115.9084 28.6062 南昌市
360100065 115.9721 28.7031 南昌市
371200052 117.6795 36.229 济南市
370100053 117.0624 36.6868 济南市
370100054 116.9489 36.6447 济南市
370100055 116.9862 36.6114 济南市
370100056 117.1265 36.6734 济南市
371200057 117.7161 36.2049 济南市
371200058 117.6867 36.2171 济南市
370100060 117.1171 36.6300 济南市
370100061 116.9814 36.6819 济南市
370181001 117.532 36.6868 济南市
370125802 117.1673 36.9782 济南市
410100012 113.616563 34.86783 郑州市
410100051 113.64164 34.7525 郑州市
410100052 113.60532 34.74838 郑州市
410100053 113.69031 34.76122 郑州市
410100054 113.65724 34.77134 郑州市
410100062 113.67526 34.80246 郑州市
410100063 113.56746 34.81334 郑州市
410100064 113.7329 34.7178 郑州市
410100065 113.73961 34.77172 郑州市
410184001 113.8374 34.5589 郑州市
410106001 113.30952 34.803229 郑州市
420100019 113.8454 30.2917 武汉市
420100051 114.282 30.6189 武汉市
420100052 114.1566 30.4825 武汉市
420100053 114.2529 30.558 武汉市
420100054 114.3025 30.5332 武汉市
420100055 114.3677 30.5584 武汉市
420100056 114.3646 30.6217 武汉市
420100057 114.3014 30.5944 武汉市
420100076 114.135 30.6319 武汉市
420100077 114.3877 30.4908 武汉市
430100011 112.9581 28.3611 长沙市
430100052 113.0014 28.1944 长沙市
430100053 113.0178 28.1322 长沙市
430100054 112.9394 28.19 长沙市
430100055 112.9792 28.2597 长沙市
430100070 113.0792 28.2053 长沙市
430100071 112.8872 28.2189 长沙市
430100072 113.0833 28.2325 长沙市
430100073 112.9844 28.1178 长沙市
430100074 112.8908 28.1308 长沙市
440100001 113.443 23.3035 广州市
440100051 113.2347 23.1423 广州市
440100057 113.2597 23.1331 广州市
440100063 113.2765 23.1544 广州市
440100064 113.2612 23.105 广州市
440100074 113.3221 23.1322 广州市
440100088 113.3478 23.0916 广州市
440100089 113.4332 23.1047 广州市
440100090 113.3505 22.9483 广州市
440100091 113.2146 23.3916 广州市
440100092 113.5618 23.312 广州市
440100920 113.2981 23.237 广州市
440100921 113.4256 23.1716 广州市
440100924 113.5342 22.7896 广州市
440111003 113.3472 23.3692 广州市
440113001 113.3942 23.0483 广州市
440114403 113.2902 23.5544 广州市
440115005 113.4922 22.8168 广州市
440117004 113.7858 23.7478 广州市
440117012 113.5717 23.5491 广州市
440118001 113.8051 23.2614 广州市
450100010 108.4394 22.7904 南宁市
450100051 108.3103 22.7881 南宁市
450100052 108.3141 22.8528 南宁市
450100054 108.3206 22.8225 南宁市
450100057 108.2397 22.8467 南宁市
450100058 108.4834 22.7618 南宁市
